Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2018,12,1,7,2.4,3.6,5.6,27,31.3,25.5,6.8,30.2
Changi,2018,12,2,0.4,0.2,0.2,0.4,27.5,31.2,25.4,8.6,31.3
Changi,2018,12,3,2.6,1.4,2,2.4,26.9,30.7,25.5,5,22
Changi,2018,12,4,0,0,0,0,27.8,31.9,24.9,7.6,26.3
Changi,2018,12,5,2.8,1.4,2.6,2.6,27.6,31.4,26.2,6.5,23.4
Changi,2018,12,6,4.6,3,3.2,3.2,27.1,30.4,25.6,5.8,24.5
Changi,2018,12,7,1,0.8,0.8,1,27.4,31.6,25.2,5.8,19.8
Changi,2018,12,8,0,0,0,0,28.1,32.3,25.3,6.5,26.6
Changi,2018,12,9,0,0,0,0,28.4,31.3,26,6.8,25.9
Changi,2018,12,10,0.2,0.2,0.2,0.2,27.4,31.6,25.9,6.1,37.4
Changi,2018,12,11,33.2,18.8,24.2,30.8,26.6,31.9,23.9,5.8,28.1
Changi,2018,12,12,0.2,0.2,0.2,0.2,27.3,31.3,25.2,5.8,30.6
Changi,2018,12,13,0,0,0,0,26.5,28.4,25.4,6.5,28.1
Changi,2018,12,14,0,0,0,0,26.9,29.6,25.4,8.3,30.2
Changi,2018,12,15,0,0,0,0,27.2,30.3,25.2,6.5,22.3
Changi,2018,12,16,43.8,24.4,33,42.6,26.3,31.6,23.7,5.8,31.7
Changi,2018,12,17,0,0,0,0,27.3,30.6,25,6.8,45
Changi,2018,12,18,0.2,0.2,0.2,0.2,27.9,31.2,25.6,7.6,25.2
Changi,2018,12,19,0.2,0.2,0.2,0.2,28,32.7,25.9,6.5,27.4
Changi,2018,12,20,15.6,9.2,13.8,15,27.4,32.1,23.6,7.9,29.9
Changi,2018,12,21,3.2,3,3,3,27.5,32.1,25.1,7.6,40.3
Changi,2018,12,22,0,0,0,0,28.1,31.7,25.6,9,31.3
Changi,2018,12,23,0.6,0.6,0.6,0.6,27.9,32.3,25.6,6.1,22.7
Changi,2018,12,24,0,0,0,0,28.1,32.2,25.2,7.6,27
Changi,2018,12,25,0.2,0.2,0.2,0.2,27.8,32.1,25.5,4.7,45.7
Changi,2018,12,26,0.2,0.2,0.2,0.2,28.6,33.1,24.7,8.3,35.6
Changi,2018,12,27,0,0,0,0,27.9,31.2,24.9,6.1,26.6
Changi,2018,12,28,0,0,0,0,29.2,33.8,25.9,7.9,30.2
Changi,2018,12,29,0,0,0,0,28.4,31.2,26.3,5.8,22.7
Changi,2018,12,30,17.4,13,14.8,16.6,28,33.8,25.6,7.6,38.5
Changi,2018,12,31,39.2,21.4,25.6,32.2,27.1,32,24.8,6.8,31.3
