Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2014,1,1,0,0,0,0,26.3,28.8,24.3,10.8,34.2
Admiralty,2014,1,2,0,0,0,0,26.9,30.7,24.6,11.5,38.2
Admiralty,2014,1,3,4.6,4.4,4.4,4.6,26.5,29.5,24.9,9.7,34.2
Admiralty,2014,1,4,3.8,3.8,3.8,3.8,26.4,31.2,24.7,8.1,32.8
Admiralty,2014,1,5,3.6,1.2,1.6,2,24.6,25.3,23.6,8.4,27
Admiralty,2014,1,6,80,21.8,26.2,30.6,25,27.2,23.1,6.2,29.5
Admiralty,2014,1,7,2,2,2,2,26.5,30.6,24.3,8,27.4
Admiralty,2014,1,8,0,0,0,0,26.9,30.8,24.4,11.7,34.6
Admiralty,2014,1,9,2.6,1.4,2,2.6,25.4,27.5,23.9,6,27.4
Admiralty,2014,1,10,0,0,0,0,26.9,31.9,24.1,6,27.4
Admiralty,2014,1,11,1.8,1.8,1.8,1.8,26.5,30.9,23.6,12.8,37.4
Admiralty,2014,1,12,0.2,0.2,0.2,0.2,25.9,28.3,24.4,11.7,39.2
Admiralty,2014,1,13,0,0,0,0,26.4,29.3,24.5,14.8,43.2
Admiralty,2014,1,14,0.2,0.2,0.2,0.2,26.1,29.6,23.9,13.3,44.3
Admiralty,2014,1,15,0,0,0,0,25.4,28.2,23.9,12.8,44.3
Admiralty,2014,1,16,0,0,0,0,25.6,28.4,23.5,13.9,39.6
Admiralty,2014,1,17,0,0,0,0,25.6,28.6,23.5,14.3,41.8
Admiralty,2014,1,18,0,0,0,0,25.6,28.5,23.5,14,42.5
Admiralty,2014,1,19,0,0,0,0,25.6,29,23.5,13.2,39.6
Admiralty,2014,1,20,0,0,0,0,25.6,29.2,23.7,14.2,37.4
Admiralty,2014,1,21,0,0,0,0,25.5,28.7,23.4,14,39.6
Admiralty,2014,1,22,0,0,0,0,25,27.9,23,13.5,40.3
Admiralty,2014,1,23,0,0,0,0,25.2,28.7,23.1,13,41.8
Admiralty,2014,1,24,0,0,0,0,25.2,28.3,23,12.6,35.3
Admiralty,2014,1,25,0,0,0,0,25.2,28.7,23.1,12.4,38.5
Admiralty,2014,1,26,0,0,0,0,25.2,29.3,22.5,11.3,37.1
Admiralty,2014,1,27,0,0,0,0,25.2,28.7,22.6,13.5,39.2
Admiralty,2014,1,28,0,0,0,0,26.1,29.7,24.1,14,40.7
Admiralty,2014,1,29,0,0,0,0,26,30,23.4,14.5,46.4
Admiralty,2014,1,30,0,0,0,0,25.5,30.3,22.6,13.2,53.6
Admiralty,2014,1,31,0,0,0,0,25.8,30.6,22.4,13.8,36.4
