Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Admiralty,2014,2,1,0,0,0,0,25.7,32.4,21.8,10.9,33.1
Admiralty,2014,2,2,0,0,0,0,25.4,30.5,22.5,10.2,31
Admiralty,2014,2,3,0,0,0,0,25.9,31.7,23,10.8,29.9
Admiralty,2014,2,4,0,0,0,0,26.2,31.8,22.4,10.6,32.4
Admiralty,2014,2,5,0,0,0,0,25.9,32,22.5,11.6,35.6
Admiralty,2014,2,6,0,0,0,0,26.2,31.7,23,10.5,35.3
Admiralty,2014,2,7,0,0,0,0,26.3,31.5,23.6,10.1,27
Admiralty,2014,2,8,15.8,10.6,15,15.6,26.3,31.7,23.8,9.4,32
Admiralty,2014,2,9,0,0,0,0,27,32.6,24.2,7.9,29.2
Admiralty,2014,2,10,0,0,0,0,27.6,33.4,24.3,8.4,27.7
Admiralty,2014,2,11,0,0,0,0,27.2,31.7,24.7,11.1,33.1
Admiralty,2014,2,12,0,0,0,0,27.1,32.5,24.1,12.1,37.8
Admiralty,2014,2,13,0,0,0,0,27.5,32.6,24.9,12.5,40.7
Admiralty,2014,2,14,0,0,0,0,27,30.9,24.7,12.8,37.1
Admiralty,2014,2,15,0,0,0,0,27.1,31,24.7,14.4,41
Admiralty,2014,2,16,0,0,0,0,26.9,30.9,24.7,12.9,38.5
Admiralty,2014,2,17,0,0,0,0,27,30.7,24.9,14.6,36.4
Admiralty,2014,2,18,0,0,0,0,27.4,32.2,24.8,13,34.6
Admiralty,2014,2,19,0,0,0,0,27.1,32,24.5,12,35.3
Admiralty,2014,2,20,0,0,0,0,27.1,31.3,24.7,15.2,42.5
Admiralty,2014,2,21,0,0,0,0,26.9,29.8,24.9,15.7,43.2
Admiralty,2014,2,22,0,0,0,0,27.5,32.4,24.5,14.8,51.1
Admiralty,2014,2,23,0,0,0,0,26.7,31.3,24,12.5,44.3
Admiralty,2014,2,24,0,0,0,0,26.7,31.4,23.7,13.8,40
Admiralty,2014,2,25,0,0,0,0,26.4,31,23.4,11.9,37.8
Admiralty,2014,2,26,0,0,0,0,26.8,31.2,23.7,13.3,41
Admiralty,2014,2,27,0,0,0,0,27.3,32.4,24.1,13.6,44.3
Admiralty,2014,2,28,0,0,0,0,27.1,31.5,24.1,13.8,40.7
