Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tuas South,2014,1,1,0,0,0,0,27.1,29.9,25.1,6,22.3
Tuas South,2014,1,2,0,0,0,0,27.6,32,25.2,6.4,25.6
Tuas South,2014,1,3,57.6,30.6,42.2,52,26.4,31.2,23.3,6,72.4
Tuas South,2014,1,4,17,8.2,14.2,17,26.3,30.7,24.1,6.7,24.8
Tuas South,2014,1,5,0.6,0.4,0.6,0.6,25.5,27.1,23.9,6.6,22.3
Tuas South,2014,1,6,21.2,4.4,6.8,9.6,25.4,27,23.2,4.6,66.2
Tuas South,2014,1,7,5,5,5,5,26.7,31.1,24.9,6.5,25.6
Tuas South,2014,1,8,0,0,0,0,27.7,31.7,25,7.4,27.7
Tuas South,2014,1,9,5.4,4.2,5.2,5.2,26.1,27.9,24.9,5.9,22
Tuas South,2014,1,10,0,0,0,0,27,31,24.8,7.4,20.9
Tuas South,2014,1,11,2.4,2.2,2.2,2.2,26.9,31.6,24.4,7.9,33.5
Tuas South,2014,1,12,0,0,0,0,26.7,29.5,24.9,7.2,28.1
Tuas South,2014,1,13,0,0,0,0,27.3,30.9,25.2,8,25.9
Tuas South,2014,1,14,0,0,0,0,26.9,30.4,24.4,7.7,27.4
Tuas South,2014,1,15,0,0,0,0,26.2,29.4,24.4,7.5,23
Tuas South,2014,1,16,0,0,0,0,26.5,30.1,24,8.3,25.6
Tuas South,2014,1,17,0,0,0,0,26.4,29.6,24.2,8.9,27
Tuas South,2014,1,18,0,0,0,0,26.5,29.1,24.4,8.5,28.1
Tuas South,2014,1,19,0,0,0,0,26.3,30,23.8,8.1,22.7
Tuas South,2014,1,20,0,0,0,0,26.2,29.6,24.1,8.7,27
Tuas South,2014,1,21,0,0,0,0,26.4,29.8,24.1,9.1,27.7
Tuas South,2014,1,22,0,0,0,0,25.9,29.4,23.7,8.8,24.1
Tuas South,2014,1,23,0,0,0,0,26.2,30.3,23.5,8.2,24.8
Tuas South,2014,1,24,0,0,0,0,26.1,28.9,23.9,8.4,24.8
Tuas South,2014,1,25,0,0,0,0,26.3,30,23.8,7.1,23
Tuas South,2014,1,26,0,0,0,0,26.2,30.5,23.4,7.8,25.2
Tuas South,2014,1,27,0,0,0,0,26.3,30.7,23.7,8.8,26.6
Tuas South,2014,1,28,0,0,0,0,27.1,31.6,24.6,8.2,28.8
Tuas South,2014,1,29,0,0,0,0,27.2,32,24.3,9.1,30.2
Tuas South,2014,1,30,0,0,0,0,26.7,31.6,23.5,9.3,30.2
Tuas South,2014,1,31,0,0,0,0,27,31.9,23.6,8.1,22.3
